vname,frame_no,flux_r,flux_g,flux_b,area_r,area_g,area_b,r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r_seq,g_seq,b_seq
auroramaxHD_20180421_480p.mp4,59,737468.0,1243222.0,12708081.0,7730,12536,147780,25,40,88,28,41,85,26,38,79,26,37,77,46,55,81,49,54,83,99,104,94,72,77,82,56,65,78,38,47,77,30,40,75,[25 28 26 26 46 49 99 72 56 38 30],[ 40  41  38  37  55  54 104  77  65  47  40],[88 85 79 77 81 83 94 82 78 77 75]
auroramaxHD_20180421_480p.mp4,60,807965.0,1220791.0,12635657.0,8410,12315,147481,25,39,88,28,41,85,26,39,79,27,36,77,46,55,81,46,54,82,100,104,97,68,75,82,56,63,77,38,46,77,31,40,75,[ 25  28  26  27  46  46 100  68  56  38  31],[ 39  41  39  36  55  54 104  75  63  46  40],[88 85 79 77 81 82 97 82 77 77 75]
auroramaxHD_20180421_480p.mp4,61,734108.0,1170129.0,12560037.0,7705,11825,147942,25,39,86,27,41,84,26,38,79,25,37,77,45,55,80,46,53,80,98,102,96,69,74,81,55,61,76,36,45,76,30,40,75,[25 27 26 25 45 46 98 69 55 36 30],[ 39  41  38  37  55  53 102  74  61  45  40],[86 84 79 77 80 80 96 81 76 76 75]
auroramaxHD_20180421_480p.mp4,62,589258.0,1100376.0,12456737.0,7133,10426,147799,24,39,85,27,41,83,26,38,75,25,36,76,44,53,79,44,52,80,93,98,92,64,73,80,50,58,76,37,46,75,30,40,74,[24 27 26 25 44 44 93 64 50 37 30],[39 41 38 36 53 52 98 73 58 46 40],[85 83 75 76 79 80 92 80 76 75 74]
auroramaxHD_20180421_480p.mp4,63,304668.0,1073684.0,12298746.0,4713,10589,148104,23,39,84,25,41,81,24,37,74,24,36,75,43,52,78,44,52,79,88,97,88,60,70,79,45,55,74,35,44,74,29,40,73,[23 25 24 24 43 44 88 60 45 35 29],[39 41 37 36 52 52 97 70 55 44 40],[84 81 74 75 78 79 88 79 74 74 73]
auroramaxHD_20180421_480p.mp4,64,335124.0,997874.0,12311186.0,4979,9727,148748,24,38,84,25,40,82,25,37,74,24,36,74,42,51,77,44,52,78,91,97,87,57,66,77,43,52,74,35,43,73,29,40,73,[24 25 25 24 42 44 91 57 43 35 29],[38 40 37 36 51 52 97 66 52 43 40],[84 82 74 74 77 78 87 77 74 73 73]
auroramaxHD_20180421_480p.mp4,65,237213.0,987004.0,12209158.0,4437,9743,148376,24,38,84,25,39,80,24,37,74,23,36,75,42,52,77,42,52,78,86,96,85,56,65,75,40,49,74,33,42,73,29,39,73,[24 25 24 23 42 42 86 56 40 33 29],[38 39 37 36 52 52 96 65 49 42 39],[84 80 74 75 77 78 85 75 74 73 73]
auroramaxHD_20180421_480p.mp4,66,298564.0,995115.0,12180024.0,3861,10525,149479,23,38,84,24,39,80,23,37,73,22,35,74,42,53,77,42,51,78,82,91,84,55,65,75,39,48,73,32,41,72,29,39,72,[23 24 23 22 42 42 82 55 39 32 29],[38 39 37 35 53 51 91 65 48 41 39],[84 80 73 74 77 78 84 75 73 72 72]
auroramaxHD_20180421_480p.mp4,67,234782.0,996780.0,12096668.0,3430,10548,149239,22,38,83,24,39,80,22,36,73,22,35,74,39,53,77,42,50,77,80,89,84,54,64,75,39,48,73,30,41,72,28,39,72,[22 24 22 22 39 42 80 54 39 30 28],[38 39 36 35 53 50 89 64 48 41 39],[83 80 73 74 77 77 84 75 73 72 72]
auroramaxHD_20180421_480p.mp4,68,382929.0,1036536.0,12064337.0,5184,10294,148370,23,38,83,24,39,80,23,36,73,23,35,74,38,52,77,42,50,77,79,88,84,54,63,75,39,48,72,30,39,72,28,39,72,[23 24 23 23 38 42 79 54 39 30 28],[38 39 36 35 52 50 88 63 48 39 39],[83 80 73 74 77 77 84 75 72 72 72]
auroramaxHD_20180421_480p.mp4,69,441821.0,1073818.0,11962870.0,6349,10216,147552,23,37,83,24,38,80,23,36,73,23,35,73,36,50,77,43,49,77,79,87,85,52,61,75,39,48,72,31,38,72,29,39,71,[23 24 23 23 36 43 79 52 39 31 29],[37 38 36 35 50 49 87 61 48 38 39],[83 80 73 73 77 77 85 75 72 72 71]
auroramaxHD_20180421_480p.mp4,70,385355.0,1040272.0,11963305.0,5453,10278,148147,23,38,82,23,38,80,23,36,73,22,35,73,32,47,76,42,50,77,77,87,87,51,60,75,39,48,72,31,39,71,28,38,71,[23 23 23 22 32 42 77 51 39 31 28],[38 38 36 35 47 50 87 60 48 39 38],[82 80 73 73 76 77 87 75 72 71 71]
auroramaxHD_20180421_480p.mp4,71,334464.0,1009908.0,11902372.0,4742,10257,148577,23,36,81,22,37,79,22,36,73,23,33,72,30,44,76,43,51,76,79,89,88,49,59,74,39,47,71,31,39,72,28,38,71,[23 22 22 23 30 43 79 49 39 31 28],[36 37 36 33 44 51 89 59 47 39 38],[81 79 73 72 76 76 88 74 71 72 71]
auroramaxHD_20180421_480p.mp4,72,290441.0,999459.0,11820526.0,4471,10025,148452,23,37,81,23,36,79,23,36,72,23,34,72,29,42,75,43,50,76,71,84,82,49,58,74,39,47,71,32,40,71,28,38,71,[23 23 23 23 29 43 71 49 39 32 28],[37 36 36 34 42 50 84 58 47 40 38],[81 79 72 72 75 76 82 74 71 71 71]
auroramaxHD_20180421_480p.mp4,73,265404.0,951937.0,11783186.0,4736,9354,148380,22,36,80,22,36,78,23,36,72,22,34,71,27,40,74,43,51,75,73,84,84,47,55,73,38,46,71,32,40,70,29,38,71,[22 22 23 22 27 43 73 47 38 32 29],[36 36 36 34 40 51 84 55 46 40 38],[80 78 72 71 74 75 84 73 71 70 71]
